,algoritmo,train_method,normalizacao,selecao_feat,dataset_treino,dataset_test,acuracia,precisao,recall,f1
100,Knn,Grid Search 3 folds,-,PCA,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.8381818181818181,0.8897736797988265,0.772,0.8267133956386292
101,Knn,Grid Search 3 folds,-,PCA,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.8395454545454546,0.8954891994917408,0.7688181818181818,0.827333202895715
102,Knn,Grid Search 3 folds,-,PCA,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.8378181818181818,0.8891914537075828,0.7718181818181818,0.8263577963792096
103,Knn,Grid Search 3 folds,-,PCA,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.8364090909090909,0.8927093282394142,0.7647272727272727,0.8237771140380944
104,Knn,Grid Search 3 folds,-,PCA,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.836590909090909,0.8923386669492424,0.7655454545454545,0.8240935558056466
105,Knn,Holdout,-,PCA,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.8390454545454545,0.8886110242784203,0.7752727272727272,0.8280817594795358
106,Knn,Holdout,-,PCA,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.8433636363636363,0.8959119496855346,0.777,0.8322297955209348
107,Knn,Holdout,-,PCA,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.8418181818181818,0.8927303112596616,0.777,0.830854476523768
108,Knn,Holdout,-,PCA,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.8388636363636364,0.8921620199894792,0.7709090909090909,0.8271153377225068
109,Knn,Holdout,-,PCA,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.8370454545454545,0.888341887503928,0.771,0.8255219740108045
110,Knn,Grid Search 3 folds,-,Abs Correlation 20,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.7921818181818182,0.8358411703239289,0.7271818181818182,0.7777345649003402
111,Knn,Grid Search 3 folds,-,Abs Correlation 20,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.7885454545454545,0.8330535152151102,0.7217272727272728,0.7734047735021921
112,Knn,Grid Search 3 folds,-,Abs Correlation 20,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.7929090909090909,0.8399451361046635,0.7237272727272728,0.7775173356773122
113,Knn,Grid Search 3 folds,-,Abs Correlation 20,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.7900909090909091,0.835470984020185,0.7224545454545455,0.7748634945397816
